id,name,city,lon,lat,date,PM2.5,row_index,col_index,proj_x,proj_y,dem,w10,d10,t2m,sp,tp,blh,e,r,u10,v10,aod_sat,ndvi
1001A,万寿西宫,北京,116.366,39.8673,20180531,60.548387096774185,2201.0,6867.0,1650847.5516331228,1370268.3659701913,46,1.3074177503585815,35.78990173339844,293.96722412109375,100044.1875,0.0006342334090732038,164.84786987304688,-1.0240701158181764e-05,44.9395866394043,0.7645775675773621,1.0605480670928955,0.6600396633148193,3932
1002A,定陵,北京,116.17,40.2865,20180531,57.22413793103448,2134.0,6835.0,1625003.973250138,1416959.9639730146,420,0.03374314308166504,167.2140350341797,291.5908203125,96484.0546875,0.0004495815373957157,101.14968872070312,-9.759199201653246e-06,51.03401565551758,0.007470510434359312,-0.03290579095482826,0.5680645108222961,7575
1003A,东四,北京,116.434,39.9522,20180531,67.25806451612904,2188.0,6877.0,1653776.7102650262,1381524.3053945734,48,1.179286241531372,29.54182243347168,294.0372009277344,100061.1953125,0.0005977741675451398,163.24063110351562,-9.279857295041438e-06,44.052452087402344,0.5814418196678162,1.025983214378357,0.683422863483429,3769
1004A,天坛,北京,116.434,39.8745,20180531,57.08064516129032,2200.0,6877.0,1655828.0445424512,1372270.097507006,45,1.3269397020339966,30.332704544067383,294.10211181640625,100167.1953125,0.0006549929385073483,175.4182891845703,-1.0557612768025137e-05,44.22692108154297,0.6701138019561768,1.1453019380569458,0.6530625224113464,4337
1005A,农展馆,北京,116.473,39.9716,20180531,57.935483870967744,2185.0,6884.0,1656224.6805005262,1384491.8424875431,40,1.1635879278182983,25.143386840820312,294.1402893066406,100108.0390625,0.0006005297182127833,169.09698486328125,-9.207518814946525e-06,43.35215377807617,0.4943774938583374,1.053341269493103,0.6534764766693115,3757
1006A,官园,北京,116.361,39.9425,20180531,63.17741935483871,2189.0,6866.0,1648488.6803659305,1379142.1766624278,55,1.1572989225387573,36.498653411865234,293.8524169921875,99962.5546875,0.000574635632801801,150.5792999267578,-8.978679034044035e-06,45.03292465209961,0.6883484125137329,0.9303317666053772,0.6905981302261353,3015
1007A,海淀区万柳,北京,116.315,39.9934,20180531,61.32258064516129,2181.0,6858.0,1643658.0833643028,1384435.6792709937,52,1.0416783094406128,42.239139556884766,293.6382751464844,99854.296875,0.0005162368179298937,131.44093322753906,-7.897235263953917e-06,45.847103118896484,0.7002269625663757,0.7712171673774719,0.6387071013450623,4367
1008A,顺义新城,北京,116.72,40.1438,20180531,64.33870967741936,2157.0,6923.0,1670359.5101822412,1409179.4017513914,32,0.9411296844482422,181.5990447998047,293.96856689453125,99895.2578125,0.0005545158055610955,181.5193328857422,-1.0372043107054196e-05,44.09885787963867,-0.026260441169142723,0.9407632350921631,0.5772992968559265,5107
1009A,怀柔镇,北京,116.644,40.3937,20180531,53.4,2117.0,6911.0,1657945.0195431802,1437655.3173973674,169,0.44594132900238037,7.096070766448975,292.3923034667969,98038.40625,0.000377532938728109,151.97923278808594,-9.898499229166191e-06,47.050193786621094,0.05508695915341377,0.44252580404281616,0.5859349370002747,6820
1010A,昌平镇,北京,116.23,40.1952,20180531,57.74193548387096,2149.0,6845.0,1631926.7826818542,1407069.146014603,57,0.37005093693733215,51.07680130004883,292.99658203125,99303.5546875,0.0004565902636386454,108.52178192138672,-9.017333468364086e-06,48.904388427734375,0.28788939118385315,0.23250246047973633,0.6447307467460632,3516
1011A,奥体中心,北京,116.407,40.0031,20180531,63.016129032258064,2180.0,6873.0,1650384.2993514207,1387133.4197281853,47,1.0620168447494507,31.668071746826172,293.92333984375,99948.1953125,0.0005495395162142813,150.18984985351562,-8.361133041034918e-06,44.37042236328125,0.5575414299964905,0.9038956761360168,0.6569844484329224,3611
1012A,古城,北京,116.225,39.9279,20180531,70.70689655172414,2192.0,6844.0,1638539.229021886,1375127.8940789944,66,1.1531296968460083,48.936073303222656,293.1433410644531,99091.640625,0.0005386134725995362,127.50602722167969,-8.546909157303162e-06,47.18928146362305,0.8694143891334534,0.7575135827064514,0.6142917275428772,3311
1015A,勤俭路,天津,117.145,39.1654,20180531,48.145161290322584,2314.0,6991.0,1729155.5632773454,1300184.178096506,6,1.7647944688796997,1.0522358417510986,293.8616638183594,100898.96875,0.0006473285611718893,246.66751098632812,-2.824312832672149e-05,48.20143508911133,0.032403379678726196,1.764496922492981,0.6430677175521851,3335
