bathrooms,sqft_living,sqft_lot,grade,condition,waterfront,view,age,lon,lat
0.8915,0.3975,0.4455,0.517,0.1485,0.02,0.0635,0.6865,0.6955,0.9235
0.9955,0.996,0.852,0.826,0.609,0.901,0.9925,0.851,0.8855,1.0
0.995,1.0,0.973,0.9905,0.9555,0.952,0.9985,0.907,1.0,1.0
0.981,0.995,0.74,0.999,0.1905,0.9385,0.9955,0.6475,0.944,0.994
1.0,1.0,0.968,1.0,0.767,0.9115,0.5695,0.9495,0.9875,0.9995
0.956,0.9985,0.7625,0.9985,0.6495,0.9485,0.9925,0.895,0.98,0.9995
1.0,1.0,1.0,1.0,0.8295,0.9615,0.9975,0.996,0.946,1.0
0.9775,1.0,0.676,1.0,0.737,0.938,1.0,0.988,0.991,0.9875
0.9655,0.993,0.8545,1.0,0.779,0.871,0.9985,0.8145,0.9355,0.9985
0.998,0.9945,0.8735,0.9945,0.395,0.9075,0.376,0.733,0.986,1.0
0.994,1.0,0.9465,1.0,0.778,0.8695,0.992,0.9815,0.9995,0.999
0.9995,1.0,0.7605,1.0,0.7805,0.9505,0.9975,0.932,0.9985,1.0
0.982,0.9115,0.945,0.7525,0.639,0.936,0.9965,0.8945,0.8345,0.98
1.0,1.0,0.972,1.0,0.663,0.952,1.0,0.8345,0.995,1.0
0.944,0.8775,0.778,1.0,0.658,0.802,0.9935,0.9645,0.8605,0.899
0.9985,0.9855,0.579,0.9995,0.5155,0.9485,0.994,0.7785,0.8535,0.998
1.0,0.9995,0.9955,1.0,0.856,0.9575,0.9955,0.991,0.9355,0.9995
0.9935,1.0,0.9945,1.0,0.6865,0.9585,0.9935,1.0,0.9905,1.0
0.8575,0.974,0.8855,1.0,0.679,0.815,0.4895,0.9375,0.6895,0.9815
0.8105,0.7125,0.609,0.926,0.418,0.7285,0.9975,0.4455,0.866,0.989
0.9825,0.9985,0.7275,0.9985,0.768,0.953,0.989,0.9525,0.93,1.0
0.9565,0.9925,0.6605,1.0,0.831,0.9515,0.9915,0.724,0.7515,0.9975
0.9715,0.998,0.905,1.0,0.523,0.9085,0.9815,0.9365,0.9535,1.0
0.9455,0.924,0.879,0.999,0.486,0.8215,0.978,0.866,0.5575,1.0
1.0,0.998,0.9915,1.0,0.959,0.9,0.987,0.995,0.9285,1.0
1.0,1.0,0.968,1.0,0.8615,0.967,0.995,0.999,0.986,1.0
0.833,0.733,0.9105,0.744,0.3915,0.7285,0.993,0.678,0.913,0.9895
0.995,0.9995,0.8685,1.0,0.931,0.954,0.996,0.5385,0.9955,1.0
1.0,1.0,0.9755,1.0,0.94,0.9555,0.986,1.0,0.9905,0.998
0.999,0.999,0.992,1.0,0.8455,0.9785,0.986,0.985,0.97,1.0
0.6115,0.3865,0.6735,0.379,0.4535,0.665,0.0785,0.6995,0.7585,0.654
0.997,0.9995,0.997,0.999,0.459,0.923,0.996,0.983,0.9995,1.0
0.994,1.0,0.9855,1.0,0.395,0.8655,0.991,0.989,1.0,1.0
0.999,1.0,0.983,1.0,0.963,0.918,0.996,0.9495,0.9725,1.0
0.994,1.0,0.994,0.9975,0.9515,0.9505,0.9965,0.998,1.0,1.0
0.6135,0.1275,0.251,0.2915,0.3505,0.7005,0.212,0.6305,0.706,0.725
0.9975,0.9985,0.9375,0.9995,0.944,0.9165,0.999,0.993,0.998,1.0
0.792,0.615,0.8825,0.997,0.3165,0.553,0.0735,0.787,0.874,0.7935
0.7865,0.6895,0.9635,1.0,0.7195,0.7725,0.329,0.9555,0.9265,0.978
0.9845,0.999,0.8295,1.0,0.8955,0.9175,0.9955,0.923,0.97,1.0
1.0,1.0,0.99,1.0,0.939,0.9675,0.9965,0.9965,0.9995,1.0
0.987,1.0,0.9945,1.0,0.8645,0.9355,0.999,0.999,0.9945,1.0
0.9995,0.9975,0.99,1.0,0.8,0.932,1.0,0.9715,0.905,1.0
0.9965,1.0,0.9905,0.998,0.859,0.9525,0.988,0.9925,0.9615,1.0
0.991,1.0,0.914,1.0,0.6915,0.945,0.993,0.978,0.9975,0.9995
0.999,0.991,0.984,1.0,0.8195,0.8925,0.987,0.8845,0.9865,1.0
0.81,1.0,0.859,1.0,0.7705,0.946,0.9975,0.8085,0.9955,1.0
0.82,0.2895,0.172,0.258,0.383,0.587,0.085,0.508,0.6675,0.725
0.977,0.867,0.8465,1.0,0.696,0.9495,0.9855,0.962,0.749,1.0
0.943,0.931,0.9775,0.9725,0.9255,0.9205,0.9905,0.8835,0.954,1.0
0.966,1.0,0.982,0.955,0.825,0.9205,0.993,0.8635,0.1765,1.0
0.9995,0.9995,0.9965,1.0,0.8075,0.907,1.0,0.8795,0.9925,1.0
0.6785,0.256,0.2135,0.909,0.268,0.0085,0.042,0.713,0.521,0.4235
0.9965,0.988,0.9895,1.0,0.955,0.92,0.9955,0.9965,0.9795,0.9915
0.224,0.287,0.27,0.9585,0.1495,0.013,0.1035,0.813,0.7875,0.731
0.9995,1.0,0.9655,1.0,0.8135,0.921,0.9975,1.0,1.0,1.0
0.997,0.971,0.99,1.0,0.8995,0.9445,0.9955,0.9895,0.88,0.991
0.9795,0.985,0.997,1.0,0.77,0.9315,0.9955,0.9415,0.9565,1.0
1.0,1.0,0.9435,1.0,0.9655,0.946,0.998,0.998,0.9725,1.0
0.9915,0.9995,0.945,1.0,0.914,0.867,0.99,0.977,0.9985,0.9995
0.986,0.984,0.999,1.0,0.462,0.937,0.9965,0.9865,0.9795,0.9985
0.971,0.9985,0.9975,0.9985,0.8585,0.922,0.9885,1.0,0.991,1.0
0.999,0.9995,0.9895,0.9995,0.8595,0.9105,1.0,0.98,0.9965,1.0
0.9125,0.9045,0.892,0.9995,0.4225,0.944,0.993,0.776,0.9785,1.0
0.9975,0.999,0.963,1.0,0.8285,0.958,0.9925,0.986,0.9265,1.0
0.9975,1.0,0.9705,1.0,0.9395,0.963,0.996,0.9875,0.9495,1.0
1.0,1.0,0.9675,1.0,0.86,0.92,0.998,0.988,0.98,0.9985
0.9975,0.9985,0.989,1.0,0.8375,0.9015,0.99,0.9855,0.886,0.999
0.998,1.0,0.962,1.0,0.899,0.901,0.997,0.9025,0.997,0.9985
0.996,1.0,0.898,1.0,0.9325,0.8675,0.991,0.9515,0.999,1.0
0.978,0.9735,0.9585,0.999,0.4875,0.9085,0.998,0.9785,0.9915,1.0
