,noise_level,mse,rmse,r2,X1_cover_mean,X2_cover_mean
0,1,6.614265729723898e-05,0.008132813615055922,0.9999950285720429,1.0,1.0
1,5,0.0016535664324375309,0.04066406807536023,0.9998757143010718,1.0,1.0
2,10,0.006614265729753399,0.0813281361507406,0.9995028572042871,1.0,1.0
3,20,0.02645706291902019,0.16265627230150145,0.9980114288171478,1.0,1.0
4,40,0.1058282516760939,0.3253125446030231,0.9920457152685902,1.0,0.996
5,50,0.16535664324390076,0.40664068075378385,0.9875714301071719,1.0,0.988
6,60,0.23811356627122104,0.4879688169045447,0.9821028593543272,1.0,0.9784
7,70,0.3240990207580547,0.5692969530553055,0.9756400030100563,1.0,0.9712
8,80,0.4233130067044016,0.6506250892060662,0.9681828610743588,1.0,0.9508
9,90,0.5357555241102623,0.7319532253568272,0.9597314335472351,1.0,0.9212
10,100,0.661426572975636,0.813281361507588,0.9502857204286851,1.0,0.9116
11,150,1.4882097891952053,1.219922042261392,0.8881428709645396,1.0,0.8288
12,200,2.6457062919026093,1.626562723015196,0.8011428817147354,1.0,0.7492
