,coverage_probability,R2,RMSE,SHAP_Var,Pred_SHAP_Var
ratio,0.9172932330827067,0.7405172638628019,3.3626418349555074,43.57654107753175,47.289532302420064
Diversity,0.8245614035087719,0.8792208711426984,4.632375209258106,177.67059824303252,210.88780263887432
Asianalon,0.7192982456140351,0.8493477377965393,6.599779019973061,289.12332596540324,195.2741320442632
NativeHaw,0.9298245614035088,0.8329072209259369,1.2895239199353181,9.951788158052532,13.102604714845214
TwoorMor,0.8571428571428571,0.7167676079848653,3.0006513639586534,31.78982652360538,22.964751996264248
Hispanico,0.9022556390977443,0.8741855585469598,4.164382703841183,137.83857483899786,183.37138164200584
Whitealon,0.7117794486215538,0.4378455067748255,5.088619147922832,46.06215043136702,42.783102793934994
