,noise_level,mse_X1,rmse_X1,r2_X1,mse_X2,rmse_X2,r2_X2,X1_cover_mean,X2_cover_mean
0,1,4.3316671645556564e-24,2.0812657601939393e-12,1.0,0.00013593390407298342,0.011659069605804033,0.999989782908056,1.0,1.0
1,5,3.0693119512767302e-22,1.751945190717087e-11,1.0,0.0032138867594613176,0.05669115239136807,0.9997584371850202,1.0,1.0
2,10,2.0542964644434746e-22,1.4332817114731754e-11,1.0,0.013638819391918435,0.11678535606795244,0.9989748762629507,1.0,1.0
3,20,1.440941844516108e-22,1.2003923710671057e-11,1.0,0.05347610930622968,0.23124902011950166,0.9959806177177372,1.0,1.0
4,30,7.080942446237582e-21,8.414833596832193e-11,1.0,0.11430275837875331,0.3380869095051645,0.9914087526598011,1.0,0.9992
5,40,6.7660175534820296e-21,8.225580559135038e-11,1.0,0.20678832328253421,0.45473984131867556,0.984457333684823,1.0,0.9624
6,50,2.82459250115779e-20,1.6806524034308196e-10,1.0,0.3091952415930176,0.5560532722617659,0.9767602039126998,1.0,0.9356
7,60,8.85985863691426e-20,2.9765514672039957e-10,1.0,0.47910322595413657,0.692172829540525,0.9639895451864765,1.0,0.9232
8,70,1.5295811920103993e-20,1.2367623830026524e-10,1.0,0.6578880268642994,0.8111029693351512,0.950551685356377,1.0,0.82
9,80,5.632105469155541e-20,2.373205736794756e-10,1.0,0.84243969169957,0.9178451349217742,0.9366803753185956,1.0,0.7372
10,90,8.410143920510633e-20,2.9000248137749846e-10,1.0,1.070406175184556,1.0346043568362526,0.9195459117879331,1.0,0.6856
11,100,3.602346014886577e-21,6.001954694003094e-11,1.0,1.3369027326557428,1.1562451005975085,0.899515442943429,1.0,0.612
12,150,2.5421338092417797e-19,5.041957763847075e-10,1.0,2.782757174337158,1.6681598167852978,0.7908418352142986,1.0,0.6672
13,200,4.807576740677613e-19,6.933669115755102e-10,1.0,5.330946762667057,2.308884311234986,0.5993142873792756,1.0,0.628
